run_id	relative_path	method	status	seed	episodes	renew_every	buffer_capacity	cost_source	lambda_scope	dual	tau	epsilon	lambda_max	penalty_weight	source_commit	legacy_path
dqn_fixed_ind_w20_re05_seed05	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed05	fixed_indicator	valid	5	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed5_re5_qind_w20
dqn_fixed_ind_w20_re05_seed06	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed06	fixed_indicator	valid	6	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed6_re5_qind_w20
dqn_fixed_ind_w20_re05_seed07	runs/fixed_indicator/dqn_fixed_ind_w20_re05_seed07	fixed_indicator	valid	7	600	5	50000	n/a	n/a	n/a	8	n/a	n/a	20	f64f4926180f8d650021149b7edbac21505d5495	model/Ablation4_FixedWeight/dqn_soft_seed7_re5_qind_w20
dqn_rcpo_raw_per_pid_lmax05_re05_seed02	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed02	rcpo_per_platoon	valid	2	600	5	50000	raw	per_platoon	pid	8	0.1	5	n/a	6e738c60de8fc6681a31fd9b44e230234a76d5c4	model/Step5_RCPO/dqn_hard_seed2_re5
dqn_rcpo_raw_per_pid_lmax05_re05_seed03	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed03	rcpo_per_platoon	valid	3	600	5	50000	raw	per_platoon	pid	8	0.1	5	n/a	6e738c60de8fc6681a31fd9b44e230234a76d5c4	model/Step5_RCPO/dqn_hard_seed3_re5
dqn_rcpo_raw_per_pid_lmax05_re05_seed04	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed04	rcpo_per_platoon	valid	4	600	5	50000	raw	per_platoon	pid	8	0.1	5	n/a	6e738c60de8fc6681a31fd9b44e230234a76d5c4	model/Step5_RCPO/dqn_hard_seed4_re5
dqn_rcpo_raw_per_pid_lmax05_re05_seed05	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed05	rcpo_per_platoon	valid	5	600	5	50000	raw	per_platoon	pid	8	0.1	5	n/a	6e738c60de8fc6681a31fd9b44e230234a76d5c4	model/Step5_RCPO/dqn_hard_seed5_re5
dqn_rcpo_raw_per_pid_lmax05_re05_seed06	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed06	rcpo_per_platoon	valid	6	600	5	50000	raw	per_platoon	pid	8	0.1	5	n/a	6e738c60de8fc6681a31fd9b44e230234a76d5c4	model/Step5_RCPO/dqn_hard_seed6_re5
dqn_rcpo_raw_per_pid_lmax05_re05_seed07	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re05_seed07	rcpo_per_platoon	valid	7	600	5	50000	raw	per_platoon	pid	8	0.1	5	n/a	6e738c60de8fc6681a31fd9b44e230234a76d5c4	model/Step5_RCPO/dqn_hard_seed7_re5
dqn_rcpo_raw_per_pid_lmax05_re20_seed02	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed02	rcpo_per_platoon	valid	2	600	20	50000	raw	per_platoon	pid	8	0.1	5	n/a	6f77152b312a663e03af386466d6fff8e67763ff	model/Step5_RCPO_re20/dqn_hard_seed2_re20
dqn_rcpo_raw_per_pid_lmax05_re20_seed03	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed03	rcpo_per_platoon	valid	3	600	20	50000	raw	per_platoon	pid	8	0.1	5	n/a	6f77152b312a663e03af386466d6fff8e67763ff	model/Step5_RCPO_re20/dqn_hard_seed3_re20
dqn_rcpo_raw_per_pid_lmax05_re20_seed04	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed04	rcpo_per_platoon	valid	4	600	20	50000	raw	per_platoon	pid	8	0.1	5	n/a	6f77152b312a663e03af386466d6fff8e67763ff	model/Step5_RCPO_re20/dqn_hard_seed4_re20
dqn_rcpo_raw_per_pid_lmax05_re20_seed05	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed05	rcpo_per_platoon	valid	5	600	20	50000	raw	per_platoon	pid	8	0.1	5	n/a	6f77152b312a663e03af386466d6fff8e67763ff	model/Step5_RCPO_re20/dqn_hard_seed5_re20
dqn_rcpo_raw_per_pid_lmax05_re20_seed06	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed06	rcpo_per_platoon	valid	6	600	20	50000	raw	per_platoon	pid	8	0.1	5	n/a	6f77152b312a663e03af386466d6fff8e67763ff	model/Step5_RCPO_re20/dqn_hard_seed6_re20
dqn_rcpo_raw_per_pid_lmax05_re20_seed07	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax05_re20_seed07	rcpo_per_platoon	valid	7	600	20	50000	raw	per_platoon	pid	8	0.1	5	n/a	6f77152b312a663e03af386466d6fff8e67763ff	model/Step5_RCPO_re20/dqn_hard_seed7_re20
dqn_cost_critic_unscaled_re05_seed02	archive/failed_prototypes/F01_unscaled_cost_critic/dqn_hard_seed2_re5	cost_critic_unscaled	negative_result	2	600	5	50000	critic	per_platoon	pid	8	0.1	20	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Step5_CMDP/dqn_hard_seed2_re5
dqn_cost_critic_unscaled_re05_seed03	archive/failed_prototypes/F01_unscaled_cost_critic/dqn_hard_seed3_re5	cost_critic_unscaled	negative_result	3	600	5	50000	critic	per_platoon	pid	8	0.1	20	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Step5_CMDP/dqn_hard_seed3_re5
dqn_cost_critic_unscaled_re05_seed04	archive/failed_prototypes/F01_unscaled_cost_critic/dqn_hard_seed4_re5	cost_critic_unscaled	negative_result	4	600	5	50000	critic	per_platoon	pid	8	0.1	20	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Step5_CMDP/dqn_hard_seed4_re5
dqn_cost_critic_unscaled_re05_seed05	archive/failed_prototypes/F01_unscaled_cost_critic/dqn_hard_seed5_re5	cost_critic_unscaled	negative_result	5	600	5	50000	critic	per_platoon	pid	8	0.1	20	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Step5_CMDP/dqn_hard_seed5_re5
dqn_cost_critic_unscaled_re05_seed06	archive/failed_prototypes/F01_unscaled_cost_critic/dqn_hard_seed6_re5	cost_critic_unscaled	negative_result	6	600	5	50000	critic	per_platoon	pid	8	0.1	20	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Step5_CMDP/dqn_hard_seed6_re5
dqn_cost_critic_unscaled_re05_seed07	archive/failed_prototypes/F01_unscaled_cost_critic/dqn_hard_seed7_re5	cost_critic_unscaled	negative_result	7	600	5	50000	critic	per_platoon	pid	8	0.1	20	n/a	7fbc1dc189adca32560cd8512190e548bba32f01	model/Step5_CMDP/dqn_hard_seed7_re5
dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed02	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed02	rcpo_global_mean	valid	2	600	20	50000	raw	global_mean	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed03	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed03	rcpo_global_mean	valid	3	600	20	50000	raw	global_mean	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed04	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed04	rcpo_global_mean	valid	4	600	20	50000	raw	global_mean	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed05	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed05	rcpo_global_mean	valid	5	600	20	50000	raw	global_mean	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed06	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed06	rcpo_global_mean	valid	6	600	20	50000	raw	global_mean	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed07	runs/rcpo_global_mean/dqn_rcpo_raw_global_mean_pid_lmax05_re20_seed07	rcpo_global_mean	valid	7	600	20	50000	raw	global_mean	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_max_pid_lmax05_re20_seed02	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed02	rcpo_global_max	valid	2	600	20	50000	raw	global_max	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_max_pid_lmax05_re20_seed03	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed03	rcpo_global_max	valid	3	600	20	50000	raw	global_max	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_max_pid_lmax05_re20_seed04	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed04	rcpo_global_max	valid	4	600	20	50000	raw	global_max	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_max_pid_lmax05_re20_seed05	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed05	rcpo_global_max	valid	5	600	20	50000	raw	global_max	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_max_pid_lmax05_re20_seed06	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed06	rcpo_global_max	valid	6	600	20	50000	raw	global_max	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_global_max_pid_lmax05_re20_seed07	runs/rcpo_global_max/dqn_rcpo_raw_global_max_pid_lmax05_re20_seed07	rcpo_global_max	valid	7	600	20	50000	raw	global_max	pid	8	0.1	5	n/a	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w02_re20_seed02	runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed02	fixed_indicator	valid	2	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	2	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w02_re20_seed03	runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed03	fixed_indicator	valid	3	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	2	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w02_re20_seed04	runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed04	fixed_indicator	valid	4	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	2	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w02_re20_seed05	runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed05	fixed_indicator	valid	5	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	2	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w02_re20_seed06	runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed06	fixed_indicator	valid	6	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	2	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w02_re20_seed07	runs/fixed_indicator/dqn_fixed_ind_w02_re20_seed07	fixed_indicator	valid	7	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	2	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w05_re20_seed02	runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed02	fixed_indicator	valid	2	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	5	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w05_re20_seed03	runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed03	fixed_indicator	valid	3	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	5	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w05_re20_seed04	runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed04	fixed_indicator	valid	4	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	5	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w05_re20_seed05	runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed05	fixed_indicator	valid	5	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	5	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w05_re20_seed06	runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed06	fixed_indicator	valid	6	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	5	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w05_re20_seed07	runs/fixed_indicator/dqn_fixed_ind_w05_re20_seed07	fixed_indicator	valid	7	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	5	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w10_re20_seed02	runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed02	fixed_indicator	valid	2	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	10	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w10_re20_seed03	runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed03	fixed_indicator	valid	3	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	10	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w10_re20_seed04	runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed04	fixed_indicator	valid	4	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	10	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w10_re20_seed05	runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed05	fixed_indicator	valid	5	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	10	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w10_re20_seed06	runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed06	fixed_indicator	valid	6	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	10	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w10_re20_seed07	runs/fixed_indicator/dqn_fixed_ind_w10_re20_seed07	fixed_indicator	valid	7	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	10	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w20_re20_seed02	runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed02	fixed_indicator	valid	2	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	20	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w20_re20_seed03	runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed03	fixed_indicator	valid	3	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	20	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w20_re20_seed04	runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed04	fixed_indicator	valid	4	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	20	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w20_re20_seed05	runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed05	fixed_indicator	valid	5	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	20	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w20_re20_seed06	runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed06	fixed_indicator	valid	6	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	20	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_fixed_ind_w20_re20_seed07	runs/fixed_indicator/dqn_fixed_ind_w20_re20_seed07	fixed_indicator	valid	7	600	20	50000	n/a	n/a	n/a	8	n/a	n/a	20	f3b2605026250b317ca72d8427d6aafb7bb8d92e	n/a
dqn_rcpo_raw_per_pid_lmax10_re20_seed02	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed02	rcpo_per_platoon	valid	2	600	20	50000	raw	per_platoon	pid	8	0.1	10	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax10_re20_seed03	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed03	rcpo_per_platoon	valid	3	600	20	50000	raw	per_platoon	pid	8	0.1	10	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax10_re20_seed04	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed04	rcpo_per_platoon	valid	4	600	20	50000	raw	per_platoon	pid	8	0.1	10	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax10_re20_seed05	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed05	rcpo_per_platoon	valid	5	600	20	50000	raw	per_platoon	pid	8	0.1	10	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax10_re20_seed06	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed06	rcpo_per_platoon	valid	6	600	20	50000	raw	per_platoon	pid	8	0.1	10	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax10_re20_seed07	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax10_re20_seed07	rcpo_per_platoon	valid	7	600	20	50000	raw	per_platoon	pid	8	0.1	10	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax20_re20_seed02	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed02	rcpo_per_platoon	valid	2	600	20	50000	raw	per_platoon	pid	8	0.1	20	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax20_re20_seed03	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed03	rcpo_per_platoon	valid	3	600	20	50000	raw	per_platoon	pid	8	0.1	20	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax20_re20_seed04	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed04	rcpo_per_platoon	valid	4	600	20	50000	raw	per_platoon	pid	8	0.1	20	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax20_re20_seed05	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed05	rcpo_per_platoon	valid	5	600	20	50000	raw	per_platoon	pid	8	0.1	20	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax20_re20_seed06	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed06	rcpo_per_platoon	valid	6	600	20	50000	raw	per_platoon	pid	8	0.1	20	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
dqn_rcpo_raw_per_pid_lmax20_re20_seed07	runs/rcpo_per_platoon/dqn_rcpo_raw_per_pid_lmax20_re20_seed07	rcpo_per_platoon	valid	7	600	20	50000	raw	per_platoon	pid	8	0.1	20	n/a	82f33b8a0c1a88b0053acbce6d7e0e7218941c1d	n/a
